"","1.BC31","1.BC39","1.BC47","1.CR3","2.BC10","2.BC11","2.BC27","2.BC2","2.BC30","2.BC35","2.BC36","2.BC38","2.BC3","2.BC41","2.BC4","2.BC59","2.BC5","2.BC6","2.BC7","2.BC8","2.BC93","2.BC9","2.CR12","2.CR15","3.BC12","3.BC50","3.BC55","3.BC58","3.BC62","3.BC74","3.BC75","3.BC77","3.BC80","3.BC82","3.BC83","3.BC84","3.BC86","3.CR1","3.CR4","3.CR5","3.CR8"
"hsa-miR-6746-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66636302322314,0,0,0,0,0.11293918471919,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6747-3p",0,0,0,0,3.78224924066177,5.35085251136155,5.30321515334716,2.70590465161746,0,1.69394184046276,0,0,12.2365106724476,0.290256870692545,0,1.5082901406303,0,1.84501191392496,3.19498054489476,0,0,0,0,0,2.66636302322314,0.49652106329478,0,0,0.129718840165312,0,0,0,0.221993788970286,0.268587215759106,0.0859201589458132,0,0.218158654601997,0,12.0497387997223,0.569186476118226,0.248905964959357
"hsa-miR-6747-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194578260247968,0,0,0,0,0,0,0,0,0,2.00828979995372,0,0
"hsa-miR-6748-3p",0,0,0,0,1.26074974688726,0,5.30321515334716,0.901968217205821,0,0,0,0,0,0,0,0.167587793403367,0,0,0,0,0,0,0,14.6352056997839,0,0,0,0,0,0,0.248534538468959,16.7708616779064,0.221993788970286,0,0,0,0,0,16.0663183996298,0,0
"hsa-miR-6748-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335175586806733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221993788970286,0,0,0,0,0,0,0,0
"hsa-miR-6749-3p",0,0,0,0,1.26074974688726,2.67542625568078,0,0.225492054301455,0,0.211742730057845,0,4.9700243995785,4.07883689081585,0,0,0.418969483508417,0,1.84501191392496,0.638996108978952,0,0,0,0.8402638794373,0,5.33272604644629,0,0,0,0,0.11293918471919,0,0,0,0,0,0,0,0,0,0,0.248905964959357
"hsa-miR-6749-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01657959990745,0,0
"hsa-miR-675-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96577678951418,0.167587793403367,0,0,0,0,0,8.88702807105607,0,0,0,0,1.19780135097252,0,0.583734780743905,0.11293918471919,0.745603615406877,0.51602651316635,0,2.14869772607285,0.601441112620693,1.08770962274754,1.09079327300998,0,0,1.70755942835468,1.99124771967486
"hsa-miR-6750-3p",0,0,0,0,0,0,0,0.225492054301455,0,0.211742730057845,0,0,0,0,0,0.0837938967016833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6750-5p",0,0,0,0,7.56449848132355,0,2.65160757667358,1.35295232580873,3.21819055857346,1.48219911040491,0,0,0,1.16102748277018,3.96577678951418,1.0055267604202,2.72235304863604,3.69002382784993,7.02895719876847,0,0,8.88702807105607,8.402638794373,7.31760284989193,13.3318151161157,1.48956318988434,2.15604243175053,0.431365417526787,0,0.677635108315138,2.23681084622063,0,1.553956522792,1.20864247091598,1.80432333786208,0.62154835585574,0.218158654601997,0,8.03315919981489,1.13837295223645,0.995623859837428
